"","id","acronym","sc39"
"751","223495","SOS","false"
"752","223713","REPROBESITY","false"
"753","223736","TRANSMALARIABLOC","false"
"754","223744","DOPAMINET","false"
"755","223767","NEOOPIOID","false"
"756","236353","PROTEIN DYNAMICS","false"
"757","241504","EURATRANS","true"
"758","260429","SYSPATHO","true"
"759","237071","QUANTCLASS","false"
"760","257082","EPIGENESYS","true"
"761","278720","C4L","true"
"762","231046","ASSESSMENT TOOL","false"
"763","211423","KYOTO","false"
"764","211448","MEDEIA","false"
"765","211471","I3DPOST","false"
"766","211486","SEMAINE","false"
"767","212578","LTFLL","false"
"768","236371","MESHWIMAX","false"
"769","236522","CHEMICALSUBSTRUCTURE","false"
"770","214787","IFM PROJECT","false"
"771","237528","MIELT1D","false"
"772","215269","3DPRESENCE","false"
"773","909371","MESHWIMAX","false"
"774","235107","ICE","false"
"775","235633","BOCAP","false"
"776","216404","AUTOI","false"
"777","230759","PHARMATOX","false"
"778","230951","PLATELET MICRORNA","false"
"779","230971","NCIB","false"
"780","231022","TUMINIMYC","false"
"781","231065","BLACTAMASE_DYNAMICS","false"
"782","231070","CODE-46","false"
"783","231094","PANCREATIC STEM CELL","false"
"784","224019","PRE-DRIVE","false"
"785","239141","MED-AIRSEA-FLUX","false"
"786","239319","SRBMETABONOXSTRESS","false"
"787","239344","THE SUR","false"
"788","224460","WISEBED","false"
"789","224482","MARE","false"
"790","224483","NEOMARK","false"
"791","224495","EUHEART","false"
"792","224498","DISC","false"
"793","224535","TIPS","false"
"794","231288","SOCIONICAL","false"
"795","231323","CYBEREMOTIONS","false"
"796","231335","IMP","false"
"797","231550","JOIN-MED","false"
"798","231551","DL.ORG","false"
"799","231554","VIACTORS","false"
"800","231590","INTELLEO","false"
"801","231608","OCTOPUS","false"
"802","231620","HATS","false"
"803","231648","WINS-ICT","false"
"804","231665","ISTOK-SOYUZ","false"
"805","231688","LOCOMORPH","false"
"806","231710","ASSYST","false"
